,count,zip
542,24,92630.0
543,1,92631.0
544,1,92635.0
545,5,92637.0
546,20,92646.0
547,31,92647.0
548,25,92648.0
549,15,92649.0
550,7,92651.0
551,9,92653.0
552,13,92656.0
553,2,92657.0
554,24,92660.0
555,12,92663.0
556,1,92668.0
557,13,92672.0
558,8,92673.0
559,10,92675.0
560,23,92677.0
561,2,92679.0
562,51,92683.0
563,6,92688.0
564,17,92691.0
565,9,92692.0
566,4,92694.0
567,1,92696.0
568,2,92697.0
569,1,92698.0
570,13,92701.0
571,13,92703.0
572,22,92704.0
573,20,92705.0
574,12,92706.0
575,14,92707.0
576,31,92708.0
577,1,92714.0
578,27,92780.0
579,10,92782.0
580,1,92799.0
581,19,92801.0
582,17,92802.0
583,30,92804.0
584,14,92805.0
585,21,92806.0
586,9,92807.0
587,3,92808.0
588,19,92821.0
589,3,92823.0
590,16,92831.0
591,17,92832.0
592,13,92833.0
593,9,92835.0
594,25,92840.0
595,7,92841.0
596,9,92843.0
597,4,92844.0
598,7,92845.0
599,17,92860.0
600,8,92865.0
601,5,92866.0
602,18,92867.0
603,21,92868.0
604,7,92869.0
605,13,92870.0
606,1,92873.0
607,12,92879.0
608,12,92880.0
609,8,92881.0
610,12,92882.0
611,3,92883.0
612,18,92886.0
613,2,92887.0
614,1,92899.0
615,5,93001.0
616,25,93003.0
617,1,93004.0
618,1,93009.0
619,15,93010.0
620,4,93012.0
621,5,93013.0
622,3,93015.0
623,5,93021.0
624,1,93022.0
625,3,93023.0
626,12,93030.0
627,13,93033.0
628,3,93035.0
629,12,93036.0
630,3,93041.0
631,2,93043.0
632,3,93060.0
633,19,93063.0
634,25,93065.0
635,9,93101.0
636,2,93103.0
637,8,93105.0
638,1,93106.0
639,1,93108.0
640,2,93109.0
641,2,93111.0
642,18,93117.0
643,1,93201.0
644,3,93203.0
645,1,93204.0
646,1,93206.0
647,5,93210.0
648,1,93211.0
649,1,93212.0
650,7,93215.0
651,1,93223.0
652,1,93224.0
653,14,93230.0
654,1,93235.0
655,2,93239.0
656,4,93241.0
657,1,93243.0
658,1,93244.0
659,15,93245.0
660,2,93249.0
661,23,93257.0
662,2,93263.0
663,14,93268.0
664,1,93270.0
665,1,93271.0
666,18,93274.0
667,19,93277.0
668,1,93286.0
669,10,93291.0
670,6,93292.0
671,12,93301.0
672,8,93304.0
673,6,93305.0
674,5,93306.0
675,12,93307.0
676,24,93308.0
677,26,93309.0
678,14,93311.0
679,12,93312.0
680,9,93313.0
681,4,93314.0
682,1,93361.0
683,19,93401.0
684,1,93402.0
685,1,93403.0
686,13,93405.0
687,1,93407.0
688,12,93420.0
689,15,93422.0
690,1,93427.0
691,2,93428.0
692,6,93433.0
693,14,93436.0
694,2,93437.0
695,2,93442.0
696,4,93444.0
697,12,93446.0
698,5,93449.0
699,31,93454.0
700,8,93455.0
701,1,93458.0
702,2,93463.0
703,1,93465.0
704,2,93501.0
705,2,93513.0
706,4,93514.0
707,18,93534.0
708,9,93535.0
709,12,93536.0
710,1,93539.0
711,2,93546.0
712,18,93550.0
713,7,93551.0
714,4,93552.0
715,4,93555.0
716,2,93560.0
717,4,93561.0
718,3,93610.0
719,14,93611.0
720,19,93612.0
721,4,93618.0
722,1,93619.0
723,1,93620.0
724,2,93622.0
725,2,93625.0
726,2,93630.0
727,4,93631.0
728,1,93634.0
729,8,93635.0
730,2,93636.0
731,9,93637.0
732,5,93638.0
733,3,93644.0
734,1,93648.0
735,3,93650.0
736,1,93651.0
737,7,93654.0
738,6,93657.0
739,7,93662.0
740,3,93664.0
741,1,93666.0
742,1,93701.0
743,3,93702.0
744,7,93703.0
745,9,93704.0
746,6,93705.0
747,4,93706.0
748,18,93710.0
749,11,93711.0
750,15,93720.0
751,10,93721.0
752,17,93722.0
753,4,93725.0
754,7,93726.0
755,17,93727.0
756,4,93728.0
757,1,93730.0
758,2,93740.0
759,18,93901.0
760,12,93905.0
761,14,93906.0
762,6,93907.0
763,2,93908.0
764,1,93920.0
765,2,93923.0
766,1,93927.0
767,6,93930.0
768,10,93933.0
769,13,93940.0
770,2,93943.0
771,1,93950.0
772,13,93955.0
773,5,93960.0
774,5,94002.0
775,11,94010.0
776,10,94014.0
777,17,94015.0
778,7,94019.0
779,3,94022.0
780,1,94024.0
781,11,94025.0
782,11,94030.0
783,1,94035.0
784,1,94039.0
785,15,94040.0
786,1,94041.0
787,12,94043.0
788,14,94044.0
789,1,94051.0
790,1,94060.0
791,6,94061.0
792,2,94062.0
793,25,94063.0
794,6,94065.0
795,16,94066.0
796,1,94068.0
797,7,94070.0
798,28,94080.0
799,6,94085.0
800,14,94086.0
801,19,94087.0
802,9,94089.0
803,22,94102.0
804,30,94103.0
805,12,94104.0
806,17,94105.0
807,5,94107.0
808,14,94108.0
809,15,94109.0
810,14,94110.0
811,9,94111.0
812,12,94112.0
813,12,94114.0
814,8,94115.0
815,5,94116.0
816,13,94117.0
817,19,94118.0
818,6,94121.0
819,19,94122.0
820,5,94123.0
821,4,94124.0
822,5,94127.0
823,3,94128.0
824,1,94130.0
825,3,94131.0
826,7,94132.0
827,21,94133.0
828,3,94134.0
829,2,94143.0
830,3,94158.0
831,1,94203.0
832,8,94301.0
833,8,94303.0
834,13,94304.0
835,14,94305.0
836,9,94306.0
